year,date,event_name,tour,field_size,field_strength_mean,field_strength_q25,field_strength_q75,field_strength_q10,field_strength_q90
2019,"2018-12-02","Australian PGA Championship","EURO",156,-1.97,-2.7,-1.16,-3.46,-0.54
2019,"2018-12-02","Afrasia Bank Mauritius Open at Anahita","EURO",154,-1.83,-2.54,-1.02,-3.41,-0.4
2019,"2018-12-02","Hero World Challenge","PGA",18,1.55,1.36,1.82,1.12,1.95
2019,"2018-11-25","Honma Hong Kong Open presented by Amundi","EURO",131,-1.36,-1.92,-0.54,-2.67,-0.17
2019,"2018-11-18","The RSM Classic","PGA",156,-0.46,-0.82,0.11,-1.55,0.42
2019,"2018-11-11","Mayakoba Golf Classic","PGA",132,-0.14,-0.49,0.35,-0.95,0.67
2019,"2018-11-04","Shriners Hospitals for Children Open","PGA",132,-0.16,-0.54,0.24,-0.97,0.59
2019,"2018-10-28","World Golf Championships-HSBC Champions","PGA",77,0.38,-0.22,1.05,-1.02,1.64
2019,"2018-10-28","Sanderson Farms Championship","PGA",132,-0.56,-0.91,-0.05,-1.39,0.22
2019,"2018-10-21","THE CJ CUP @ NINE BRIDGES","PGA",78,0.31,-0.13,0.8,-0.76,1.27
2019,"2018-10-14","CIMB Classic","PGA",78,0.1,-0.16,0.6,-0.79,0.94
2019,"2018-10-07","Safeway Open","PGA",144,-0.24,-0.52,0.14,-0.98,0.49
2020,"2020-12-13","DP World Tour Championship, Dubai","EURO",65,0.01,-0.41,0.33,-0.67,0.95
2020,"2020-12-06","South African Open","EURO",155,-2,-2.85,-1.05,-3.7,-0.44
2020,"2020-12-05","Golf in Dubai Championship presented by DP World","EURO",107,-1.1,-1.56,-0.39,-2.29,0.04
2020,"2020-11-29","Alfred Dunhill Championship #2","EURO",155,-1.68,-2.39,-0.79,-3.39,-0.38
2020,"2020-11-22","Joburg Open","EURO",156,-1.88,-2.48,-0.95,-3.61,-0.4
2020,"2020-11-15","The Masters","PGA",92,0.28,-0.11,1,-1.15,1.67
2020,"2020-11-08","Aphrodite Hills Cyprus Showdown","EURO",105,-1.02,-1.37,-0.5,-1.78,-0.18
2020,"2020-11-01","Cyprus Open","EURO",105,-0.9,-1.2,-0.46,-1.67,-0.23
2020,"2020-10-25","Italian Open","EURO",114,-1.27,-1.81,-0.68,-2.42,-0.28
2020,"2020-10-18","Scottish Championship","EURO",107,-1.28,-1.81,-0.68,-2.41,-0.25
2020,"2020-10-11","Orange County National Championship presented by Knight 39","KFT",156,-1,-1.26,-0.54,-1.81,-0.24
2020,"2020-10-11","BMW PGA Championship","EURO",118,-0.58,-0.97,0.01,-1.68,0.44
2020,"2020-10-04","Savannah Golf Championship","KFT",156,-1.02,-1.27,-0.55,-1.68,-0.2
2020,"2020-10-04","Aberdeen Standard Investments Scottish Open","EURO",126,-0.81,-1.34,-0.14,-2.22,0.26
2020,"2020-09-27","Dubai Duty Free Irish Open","EURO",120,-1.12,-1.63,-0.63,-2.1,-0.26
2020,"2020-09-27","Wichita Open Supporting Wichita's Youth","KFT",156,-1.12,-1.38,-0.64,-2.01,-0.26
2020,"2020-09-27","Corales Puntacana Resort & Club Championship","PGA",144,-0.97,-1.62,-0.11,-2.91,0.43
2020,"2020-09-20","Open de Portugal at Royal Óbidos","EURO",126,-2.01,-2.36,-1.41,-3.25,-0.98
2020,"2020-09-20","U.S. Open","PGA",144,0.22,-0.19,0.85,-0.99,1.38
2020,"2020-09-13","Evans Scholars Invitational","KFT",156,-1.1,-1.5,-0.67,-1.91,-0.25
2020,"2020-09-13","Portugal Masters","EURO",132,-1.25,-1.78,-0.69,-2.36,-0.28
2020,"2020-09-07","TOUR Championship","PGA",30,1.26,0.89,1.56,0.63,1.89
2020,"2020-09-06","Lincoln Land Championship presented by LRS","KFT",156,-1.35,-1.9,-0.75,-2.33,-0.37
2020,"2020-09-06","Estrella Damm N.A. Andalucia Masters","EURO",127,-1.14,-1.61,-0.59,-2.19,-0.07
2020,"2020-08-30","ISPS HANDA UK Championship","EURO",131,-1.12,-1.52,-0.59,-2.06,-0.19
2020,"2020-08-30","BMW Championship","PGA",69,0.86,0.46,1.27,0.19,1.59
2020,"2020-08-30","Korn Ferry Tour Championship presented by United Leasing & Finance","KFT",120,-0.81,-1.14,-0.44,-1.46,-0.17
2020,"2020-08-23","ISPS HANDA Wales Open","EURO",131,-1.14,-1.64,-0.58,-2.16,-0.2
2020,"2020-08-23","THE NORTHERN TRUST","PGA",122,0.59,0.24,0.9,-0.19,1.34
2020,"2020-08-23","Nationwide Children's Hospital Championship","KFT",144,-0.91,-1.25,-0.5,-1.59,-0.16
2020,"2020-08-16","Wyndham Championship","PGA",156,-0.14,-0.59,0.47,-1.36,0.78
2020,"2020-08-16","Celtic Classic","EURO",132,-1.08,-1.45,-0.59,-1.94,-0.16
2020,"2020-08-16","Albertsons Boise Open presented by Kraft Nabisco","KFT",144,-0.97,-1.32,-0.64,-1.68,-0.21
